pecha id,language,url
I4ED93CB3,sa,https://github.com/OpenPecha/I4ED93CB3
IEBE3B010,zh,https://github.com/OpenPecha/IEBE3B010
IA06510D4,zh,https://github.com/OpenPecha/IA06510D4
I74D66CD4,zh,https://github.com/OpenPecha/I74D66CD4
IA7662284,zh,https://github.com/OpenPecha/IA7662284
I441069D4,zh,https://github.com/OpenPecha/I441069D4
IB5CCFA72,zh,https://github.com/OpenPecha/IB5CCFA72
I3B88C5AD,zh,https://github.com/OpenPecha/I3B88C5AD
I8BB4B2E7,bo,https://github.com/OpenPecha/I8BB4B2E7
IC505D1D0,en,https://github.com/OpenPecha/IC505D1D0
